season,season_type,player_id,player_name,player_display_name,position,position_group,headshot_url,games,recent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2024,REG+POST,00-0037243,T.Smith,Tyler Smith,T,OL,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/u2awdjvudoqfmsxyjusp",1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,0,0,0,0,-6,6,0,-0.987753627588972,0,0,0.02,-0.0128755364806867,0.0209871244635193,0,0,1
2024,REG+POST,00-0037247,G.Pickens,George Pickens,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/klxzcb6p7ekngcognpiy",7,PIT,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,-10,0,0,0,0,-1.7504454565933,0,31,53,474,1,1,1,700,79,19,19.456548571764,0,0.677142857142857,0.29608938547486,0.499643112062812,0.793884256656259,0,50.4,81.4
2024,REG+POST,00-0037248,J.Cook,James Cook,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bzdvrarxum9zate4te4b",6,BUF,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,82,341,5,0,0,17,-3.16169580782298,0,11,13,123,1,0,0,48,113,6,9.60390894144075,0,2.5625,0.102362204724409,0.0436363636363636,0.184088761632069,0,82.4,93.4
2024,REG+POST,00-0037252,G.Dulcich,Greg Dulcich,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tt3eyuomt5onokrqstsl",3,DEN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,5,12,28,0,0,0,71,15,0,-7.60457414825214,0,0.394366197183099,0.12,0.127240143369176,0.269068100358423,0,2.8,7.8
2024,REG+POST,00-0037256,R.White,Rachaad White,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/przphhlw0zga7b45qlyb",6,TB,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,61,227,0,0,0,10,-9.34044586500386,0,23,25,198,2,0,0,-76,266,8,9.22909830720164,0,-2.60526315789474,0.126903553299492,-0.0625514403292181,0.146569321718786,0,54.5,77.5
2024,REG+POST,00-0037257,D.Bell,David Bell,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/otv2kkn3lxonp9z43bdj",1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,3,27,0,0,0,19,8,1,3.21417321183253,0,1.42105263157895,0.0909090909090909,0.0917874396135266,0.200614844093105,0,2.7,5.7
2024,REG+POST,00-0037258,D.Pierce,Dameon Pierce,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kotnmiuvvfmfuupr0f82",3,HOU,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,13,94,1,0,0,2,2.79192146239802,0,1,1,1,0,0,0,-2,3,0,-0.492244220338762,0,-0.5,0.032258064516129,-0.00790513833992095,0.0428534999362489,0,15.5,16.5
2024,REG+POST,00-0037261,K.Shakir,Khalil Shakir,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ch2yarhiobqlvr9ls2yw",6,BUF,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,2,0,0,0,0,-0.449753652559593,0,27,28,314,2,0,0,113,211,14,30.2316839658888,0,2.7787610619469,0.183006535947712,0.0922448979591837,0.339081232492997,0,43.6,70.6
2024,REG+POST,00-0037263,T.Allgeier,Tyler Allgeier,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yosaj2anmqoujqrgzecd",7,ATL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,56,319,1,0,0,20,4.87775626075908,1,8,8,57,0,0,0,4,53,2,2.28784488475738,0,14.25,0.043956043956044,0.00278745644599303,0.0678852854462611,0,45.6,53.6
2024,REG+POST,00-0037267,J.Ford,Jerome Ford,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/djggmwo5v8osoboiseo2",6,CLE,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,50,264,1,0,0,17,7.93177266840939,0,20,23,87,0,0,0,-28,139,2,-7.21977187931771,0,-3.10714285714286,0.134502923976608,-0.0219952867242734,0.186357685257921,0,41.1,61.1
2024,REG+POST,00-0037276,T.Chandler,Ty Chandler,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/map979dvuonzb8a6g13b",6,MIN,0,0,0,0,0,1,1,0,0,0,0,0,-0.598491671553347,0,,,44,151,0,0,0,6,-9.48406590445666,0,6,6,42,0,0,0,-11,53,2,2.10261043993523,0,-3.81818181818182,0.0769230769230769,-0.0128805620608899,0.106368221941992,0,19.3,25.3
2024,REG+POST,00-0037291,J.Nailor,Jalen Nailor,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fe9b3l4fz6n02gbr5zbt",6,MIN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,3,0,0,0,1,-1.57571711740457,0,14,20,229,3,0,0,216,54,11,12.468117018789,0,1.06018518518519,0.135135135135135,0.169811320754717,0.321570627231005,0,41.2,55.2
2024,REG+POST,00-0037292,A.Ogletree,Andrew Ogletree,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xrp8dougs6jb0denyorz",5,IND,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,5,7,56,1,0,0,60,26,3,4.91559236202738,0,0.933333333333333,0.0432098765432099,0.0382409177820268,0.0915834572622335,0,11.6,16.6
2024,REG+POST,00-0037304,C.Heyward,Connor Heyward,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/b9bnasge2v2dtctdtqnf",3,PIT,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,4,6,29,1,0,0,56,7,1,-0.267612301278859,0,0.517857142857143,0.075,0.0827178729689808,0.170402511078287,0,8.9,12.9
2024,REG+POST,00-0037327,S.Thompson,Skylar Thompson,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pfzzkuppkzuy1obzuf0m",2,MIA,21,33,187,0,0,6,44,2,0,230,85,8,-15.5110251420131,0,0.81304347826087,0.0495764967953846,1,4,0,0,0,0,-2.46101770619862,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,7.88,7.88
2024,REG+POST,00-0037348,T.Conner,Tanner Conner,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rlnlxf3p7ubbwmpx3coa",2,MIA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,3,4,16,0,0,0,46,5,1,-0.835798830899876,0,0.347826086956522,0.0769230769230769,0.123989218328841,0.202177068214804,0,1.6,4.6
2024,REG+POST,00-0037382,B.Johnson,Brandon Johnson,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xavpngyzpbeccwfj9az8",1,PIT,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,9,0,0,0,5,4,0,0.703277167282067,0,1.8,0.0384615384615385,0.0179856115107914,0.0702822357498616,0,0.9,1.9
2024,REG+POST,00-0037450,T.McAllister,Tyreik McAllister,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tixxelivpmdjeq2wjdo6",1,LV,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,11,0,0,0,1,-0.0164878789801151,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,1.1,1.1
2024,REG+POST,00-0037475,S.Smartt,Stone Smartt,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tazdjztvhpulguzuh78l",2,LAC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,2,3,41,0,0,0,48,12,2,3.93019467499107,0,0.854166666666667,0.0441176470588235,0.08,0.122176470588235,0,4.1,6.1
2024,REG+POST,00-0037525,J.Mason,Jordan Mason,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ub1ub6sxuov1f1kux1v9",7,SF,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,128,667,3,2,1,30,-4.38926200747227,0,10,12,86,0,0,0,49,57,5,5.9409213597246,0,1.75510204081633,0.0568720379146919,0.0238675109595714,0.102015314543738,0,91.3,101.3
2024,REG+POST,00-0037539,L.Krull,Lucas Krull,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/v3rdtydz7dh4s5oyzejs",3,DEN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,6,9,57,0,0,0,65,21,2,1.19300427177222,0,0.876923076923077,0.108433734939759,0.1,0.232650602409639,0,5.7,11.7
2024,REG+POST,00-0037545,R.Shaheed,Rashid Shaheed,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mnaref4vwyau8mbsp0ri",6,NO,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,6,29,0,0,0,2,1.17259196576197,0,20,41,349,3,0,0,721,106,12,-5.93385909062968,0,0.484049930651873,0.244047619047619,0.500694444444445,0.71655753968254,1,61.8,81.8
2024,REG+POST,00-0037557,R.Rivers,Ronnie Rivers,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xjumjdizgaw4gicg6gbb",4,LA,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,10,51,0,0,0,5,4.78111295049894,0,1,1,0,0,0,0,-7,7,0,-0.563836629036814,0,0,0.037037037037037,-0.0440251572327044,0.0247379454926625,0,5.1,6.1
2024,REG+POST,00-0037594,J.Chestnut,Julius Chestnut,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dmy7xkb6lv63qou6qag7",2,TEN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,4,17,0,0,0,0,-0.963129752490204,0,1,1,9,0,0,0,-3,12,0,0.838174502423499,0,-3,0.0263157894736842,-0.0129310344827586,0.0304219600725953,0,2.6,3.6
2024,REG+POST,00-0037609,A.Shampklin,Aaron Shampklin,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/iujjn4h87hwnj9tswfey",3,PIT,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,6,17,0,0,0,1,-2.41446994639547,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,1.7,1.7
2024,REG+POST,00-0037614,J.Metchie,John Metchie,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zf0d6hiyqnmtst0vwdpv",1,HOU,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,1,1,7,0,0,0,-2,9,0,-0.379986669868231,0,0,0.0256410256410256,-0.00657894736842105,0.0338562753036437,0,0.7,1.7
2024,REG+POST,00-0037617,H.Haskins,Hassan Haskins,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zsblkhyarxl0wje7djhf",3,LAC,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,7,18,0,0,0,4,0.615286046697293,0,0,0,0,0,0,0,0,0,0,,0,,,,,0,1.8,1.8
2024,REG+POST,00-0037664,A.Pierce,Alec Pierce,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hvtcpccoigf9cghzkxcg",7,IND,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,15,26,383,3,0,0,611,68,11,18.6858726716309,0,0.626841243862521,0.130653266331658,0.295454545454545,0.402798081315669,0,56.3,71.3
2024,REG+POST,00-0037666,J.Tolbert,Jalen Tolbert,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cek1m1cbly5rfmmmjpcc",6,DAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,24,34,290,2,0,0,442,52,14,12.1982222983229,0,0.656108597285068,0.146551724137931,0.242723778143877,0.38973423090761,0,41,65
2024,REG+POST,00-0037740,G.Wilson,Garrett Wilson,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/llgosx4tokddwnyrgvbx",7,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,5,0,0,0,1,0.387394722085446,0,46,75,460,3,1,1,615,217,27,-7.33028597391274,1,0.747967479674797,0.291828793774319,0.360281195079086,0.689940027216839,0,64.5,110.5
2024,REG+POST,00-0037741,J.Dotson,Jahan Dotson,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/o1ndhqsvh5aygj4kdg5c",6,PHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,1,13,0,0,0,1,0.752118825912476,0,6,13,35,0,0,0,119,24,3,-7.27256488684764,0,0.294117647058824,0.0807453416149068,0.115087040618956,0.201678940855629,0,4.8,10.8
2024,REG+POST,00-0037742,T.Burks,Treylon Burks,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xinnrxloao8wvyps7e3m",5,TEN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,1,0,0,0,0,-0.934104999178089,0,4,8,34,0,0,0,135,5,3,0.170757247018628,0,0.251851851851852,0.0601503759398496,0.12396694214876,0.177002423413907,0,3.5,7.5
2024,REG+POST,00-0037744,T.McBride,Trey McBride,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hfdgljgi9gfaskomdl1h",6,ARI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,33,45,322,0,0,0,346,121,15,13.0192803514853,0,0.930635838150289,0.260115606936416,0.254598969830758,0.568392689286155,0,32.2,65.2
2024,REG+POST,00-0037745,V.Jones,Velus Jones,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gb06eaw6prinklkdkv2d",1,CHI,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,2,11,0,0,0,1,0.154408955597319,0,1,1,8,0,0,0,-5,13,0,0.564905805396847,0,0,0.0344827586206897,-0.0233644859813084,0.0353689977441186,0,1.9,2.9
2024,REG+POST,00-0037746,B.Robinson,Brian Robinson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gxcfbuvmooytbn45kvxf",6,WAS,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,85,396,6,0,0,24,12.4542232159874,0,8,11,68,0,0,0,-20,85,1,-0.236539118574016,0,-3.4,0.10377358490566,-0.0391389432485323,0.128263117084518,0,82.4,90.4
2024,REG+POST,00-0037801,K.Turpin,Kavontae Turpin,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lwkox2bvc6k3hqmidf4q",5,DAL,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,4,3,0,0,0,0,-1.90582696307683,0,13,20,129,1,1,1,137,57,6,-1.17540292628109,0,0.941605839416058,0.0970873786407767,0.0816935002981515,0.202816518169871,1,23.2,36.2
2024,REG+POST,00-0037805,J.Ruckert,Jeremy Ruckert,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w6bf97vbqitoyo5o7xaa",4,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,6,10,32,0,0,0,20,41,2,-1.01934570414085,0,1.6,0.072463768115942,0.0217391304347826,0.123913043478261,0,3.2,9.2
2024,REG+POST,00-0037809,C.Okonkwo,Chigoziem Okonkwo,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ut2gqeq2lowknrro0wlu",6,TEN,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,0,0,0,0,0,0,,0,15,17,107,1,1,0,76,45,5,2.97789897057156,0,1.40789473684211,0.0994152046783626,0.0706976744186047,0.198611179110567,0,16.7,31.7
